Name,Type,Input Shape,Output Shape,MACs,Memory Usage (bytes),Execution Time (ms)
patch_embed,PatchEmbed,,,,,
patch_embed.proj,Conv2d,,,,,
patch_embed.norm,Identity,,,,,
pos_drop,Dropout,,,,,
patch_drop,Identity,,,,,
norm_pre,Identity,,,,,
blocks,Sequential,,,,,
blocks.0,Block,,,,,
blocks.0.norm1,LayerNorm,,,,,
blocks.0.attn,Attention,,,,,
blocks.0.attn.qkv,Linear,,,,,
blocks.0.attn.q_norm,Identity,,,,,
blocks.0.attn.k_norm,Identity,,,,,
blocks.0.attn.attn_drop,Dropout,,,,,
blocks.0.attn.proj,Linear,,,,,
blocks.0.attn.proj_drop,Dropout,,,,,
blocks.0.ls1,Identity,,,,,
blocks.0.drop_path1,Identity,,,,,
blocks.0.norm2,LayerNorm,,,,,
blocks.0.mlp,Mlp,,,,,
blocks.0.mlp.fc1,Linear,,,,,
blocks.0.mlp.act,GELU,,,,,
blocks.0.mlp.drop1,Dropout,,,,,
blocks.0.mlp.norm,Identity,,,,,
blocks.0.mlp.fc2,Linear,,,,,
blocks.0.mlp.drop2,Dropout,,,,,
blocks.0.ls2,Identity,,,,,
blocks.0.drop_path2,Identity,,,,,
blocks.1,Block,,,,,
blocks.1.norm1,LayerNorm,,,,,
blocks.1.attn,Attention,,,,,
blocks.1.attn.qkv,Linear,,,,,
blocks.1.attn.q_norm,Identity,,,,,
blocks.1.attn.k_norm,Identity,,,,,
blocks.1.attn.attn_drop,Dropout,,,,,
blocks.1.attn.proj,Linear,,,,,
blocks.1.attn.proj_drop,Dropout,,,,,
blocks.1.ls1,Identity,,,,,
blocks.1.drop_path1,Identity,,,,,
blocks.1.norm2,LayerNorm,,,,,
blocks.1.mlp,Mlp,,,,,
blocks.1.mlp.fc1,Linear,,,,,
blocks.1.mlp.act,GELU,,,,,
blocks.1.mlp.drop1,Dropout,,,,,
blocks.1.mlp.norm,Identity,,,,,
blocks.1.mlp.fc2,Linear,,,,,
blocks.1.mlp.drop2,Dropout,,,,,
blocks.1.ls2,Identity,,,,,
blocks.1.drop_path2,Identity,,,,,
blocks.2,Block,,,,,
blocks.2.norm1,LayerNorm,,,,,
blocks.2.attn,Attention,,,,,
blocks.2.attn.qkv,Linear,,,,,
blocks.2.attn.q_norm,Identity,,,,,
blocks.2.attn.k_norm,Identity,,,,,
blocks.2.attn.attn_drop,Dropout,,,,,
blocks.2.attn.proj,Linear,,,,,
blocks.2.attn.proj_drop,Dropout,,,,,
blocks.2.ls1,Identity,,,,,
blocks.2.drop_path1,Identity,,,,,
blocks.2.norm2,LayerNorm,,,,,
blocks.2.mlp,Mlp,,,,,
blocks.2.mlp.fc1,Linear,,,,,
blocks.2.mlp.act,GELU,,,,,
blocks.2.mlp.drop1,Dropout,,,,,
blocks.2.mlp.norm,Identity,,,,,
blocks.2.mlp.fc2,Linear,,,,,
blocks.2.mlp.drop2,Dropout,,,,,
blocks.2.ls2,Identity,,,,,
blocks.2.drop_path2,Identity,,,,,
blocks.3,Block,,,,,
blocks.3.norm1,LayerNorm,,,,,
blocks.3.attn,Attention,,,,,
blocks.3.attn.qkv,Linear,,,,,
blocks.3.attn.q_norm,Identity,,,,,
blocks.3.attn.k_norm,Identity,,,,,
blocks.3.attn.attn_drop,Dropout,,,,,
blocks.3.attn.proj,Linear,,,,,
blocks.3.attn.proj_drop,Dropout,,,,,
blocks.3.ls1,Identity,,,,,
blocks.3.drop_path1,Identity,,,,,
blocks.3.norm2,LayerNorm,,,,,
blocks.3.mlp,Mlp,,,,,
blocks.3.mlp.fc1,Linear,,,,,
blocks.3.mlp.act,GELU,,,,,
blocks.3.mlp.drop1,Dropout,,,,,
blocks.3.mlp.norm,Identity,,,,,
blocks.3.mlp.fc2,Linear,,,,,
blocks.3.mlp.drop2,Dropout,,,,,
blocks.3.ls2,Identity,,,,,
blocks.3.drop_path2,Identity,,,,,
blocks.4,Block,,,,,
blocks.4.norm1,LayerNorm,,,,,
blocks.4.attn,Attention,,,,,
blocks.4.attn.qkv,Linear,,,,,
blocks.4.attn.q_norm,Identity,,,,,
blocks.4.attn.k_norm,Identity,,,,,
blocks.4.attn.attn_drop,Dropout,,,,,
blocks.4.attn.proj,Linear,,,,,
blocks.4.attn.proj_drop,Dropout,,,,,
blocks.4.ls1,Identity,,,,,
blocks.4.drop_path1,Identity,,,,,
blocks.4.norm2,LayerNorm,,,,,
blocks.4.mlp,Mlp,,,,,
blocks.4.mlp.fc1,Linear,,,,,
blocks.4.mlp.act,GELU,,,,,
blocks.4.mlp.drop1,Dropout,,,,,
blocks.4.mlp.norm,Identity,,,,,
blocks.4.mlp.fc2,Linear,,,,,
blocks.4.mlp.drop2,Dropout,,,,,
blocks.4.ls2,Identity,,,,,
blocks.4.drop_path2,Identity,,,,,
blocks.5,Block,,,,,
blocks.5.norm1,LayerNorm,,,,,
blocks.5.attn,Attention,,,,,
blocks.5.attn.qkv,Linear,,,,,
blocks.5.attn.q_norm,Identity,,,,,
blocks.5.attn.k_norm,Identity,,,,,
blocks.5.attn.attn_drop,Dropout,,,,,
blocks.5.attn.proj,Linear,,,,,
blocks.5.attn.proj_drop,Dropout,,,,,
blocks.5.ls1,Identity,,,,,
blocks.5.drop_path1,Identity,,,,,
blocks.5.norm2,LayerNorm,,,,,
blocks.5.mlp,Mlp,,,,,
blocks.5.mlp.fc1,Linear,,,,,
blocks.5.mlp.act,GELU,,,,,
blocks.5.mlp.drop1,Dropout,,,,,
blocks.5.mlp.norm,Identity,,,,,
blocks.5.mlp.fc2,Linear,,,,,
blocks.5.mlp.drop2,Dropout,,,,,
blocks.5.ls2,Identity,,,,,
blocks.5.drop_path2,Identity,,,,,
blocks.6,Block,,,,,
blocks.6.norm1,LayerNorm,,,,,
blocks.6.attn,Attention,,,,,
blocks.6.attn.qkv,Linear,,,,,
blocks.6.attn.q_norm,Identity,,,,,
blocks.6.attn.k_norm,Identity,,,,,
blocks.6.attn.attn_drop,Dropout,,,,,
blocks.6.attn.proj,Linear,,,,,
blocks.6.attn.proj_drop,Dropout,,,,,
blocks.6.ls1,Identity,,,,,
blocks.6.drop_path1,Identity,,,,,
blocks.6.norm2,LayerNorm,,,,,
blocks.6.mlp,Mlp,,,,,
blocks.6.mlp.fc1,Linear,,,,,
blocks.6.mlp.act,GELU,,,,,
blocks.6.mlp.drop1,Dropout,,,,,
blocks.6.mlp.norm,Identity,,,,,
blocks.6.mlp.fc2,Linear,,,,,
blocks.6.mlp.drop2,Dropout,,,,,
blocks.6.ls2,Identity,,,,,
blocks.6.drop_path2,Identity,,,,,
blocks.7,Block,,,,,
blocks.7.norm1,LayerNorm,,,,,
blocks.7.attn,Attention,,,,,
blocks.7.attn.qkv,Linear,,,,,
blocks.7.attn.q_norm,Identity,,,,,
blocks.7.attn.k_norm,Identity,,,,,
blocks.7.attn.attn_drop,Dropout,,,,,
blocks.7.attn.proj,Linear,,,,,
blocks.7.attn.proj_drop,Dropout,,,,,
blocks.7.ls1,Identity,,,,,
blocks.7.drop_path1,Identity,,,,,
blocks.7.norm2,LayerNorm,,,,,
blocks.7.mlp,Mlp,,,,,
blocks.7.mlp.fc1,Linear,,,,,
blocks.7.mlp.act,GELU,,,,,
blocks.7.mlp.drop1,Dropout,,,,,
blocks.7.mlp.norm,Identity,,,,,
blocks.7.mlp.fc2,Linear,,,,,
blocks.7.mlp.drop2,Dropout,,,,,
blocks.7.ls2,Identity,,,,,
blocks.7.drop_path2,Identity,,,,,
blocks.8,Block,,,,,
blocks.8.norm1,LayerNorm,,,,,
blocks.8.attn,Attention,,,,,
blocks.8.attn.qkv,Linear,,,,,
blocks.8.attn.q_norm,Identity,,,,,
blocks.8.attn.k_norm,Identity,,,,,
blocks.8.attn.attn_drop,Dropout,,,,,
blocks.8.attn.proj,Linear,,,,,
blocks.8.attn.proj_drop,Dropout,,,,,
blocks.8.ls1,Identity,,,,,
blocks.8.drop_path1,Identity,,,,,
blocks.8.norm2,LayerNorm,,,,,
blocks.8.mlp,Mlp,,,,,
blocks.8.mlp.fc1,Linear,,,,,
blocks.8.mlp.act,GELU,,,,,
blocks.8.mlp.drop1,Dropout,,,,,
blocks.8.mlp.norm,Identity,,,,,
blocks.8.mlp.fc2,Linear,,,,,
blocks.8.mlp.drop2,Dropout,,,,,
blocks.8.ls2,Identity,,,,,
blocks.8.drop_path2,Identity,,,,,
blocks.9,Block,,,,,
blocks.9.norm1,LayerNorm,,,,,
blocks.9.attn,Attention,,,,,
blocks.9.attn.qkv,Linear,,,,,
