Layer Name,Total Time (ms),Calls,Average Time per Call (ms)
,10.91339997947216,1,10.91339997947216
blocks,10.160499950870872,1,10.160499950870872
blocks.0,1.4680000022053719,1,1.4680000022053719
blocks.7,0.9618999902158976,1,0.9618999902158976
blocks.6,0.8988999761641026,1,0.8988999761641026
blocks.5,0.8710999973118305,1,0.8710999973118305
blocks.1,0.8399998769164085,1,0.8399998769164085
blocks.8,0.7501000072807074,1,0.7501000072807074
blocks.9,0.7311999797821045,1,0.7311999797821045
blocks.4,0.7267000619322062,1,0.7267000619322062
blocks.2,0.7018002215772867,1,0.7018002215772867
blocks.11,0.7007000967860222,1,0.7007000967860222
blocks.3,0.6910001393407583,1,0.6910001393407583
blocks.10,0.6890001241117716,1,0.6890001241117716
blocks.0.attn,0.587700167670846,1,0.587700167670846
blocks.7.attn,0.3896001726388931,1,0.3896001726388931
blocks.5.mlp,0.3891999367624521,1,0.3891999367624521
blocks.0.mlp,0.38519990630447865,1,0.38519990630447865
blocks.6.attn,0.36690011620521545,1,0.36690011620521545
patch_embed,0.3223000094294548,1,0.3223000094294548
blocks.7.mlp,0.31669996678829193,1,0.31669996678829193
blocks.1.attn,0.3090999089181423,1,0.3090999089181423
blocks.9.attn,0.2904001157730818,1,0.2904001157730818
blocks.6.mlp,0.287399860098958,1,0.287399860098958
blocks.8.attn,0.2731001004576683,1,0.2731001004576683
blocks.2.attn,0.2679000608623028,1,0.2679000608623028
blocks.8.mlp,0.2655999269336462,1,0.2655999269336462
blocks.4.attn,0.2641999162733555,1,0.2641999162733555
blocks.5.attn,0.2617998979985714,1,0.2617998979985714
blocks.3.attn,0.2603998873382807,1,0.2603998873382807
blocks.11.attn,0.25850022211670876,1,0.25850022211670876
blocks.10.attn,0.2578999847173691,1,0.2578999847173691
blocks.1.mlp,0.256500206887722,1,0.256500206887722
blocks.4.mlp,0.24770013988018036,1,0.24770013988018036
blocks.9.mlp,0.23630005307495594,1,0.23630005307495594
blocks.2.mlp,0.23259990848600864,1,0.23259990848600864
patch_embed.proj,0.23250002413988113,1,0.23250002413988113
blocks.3.mlp,0.23210002109408379,1,0.23210002109408379
blocks.10.mlp,0.23010000586509705,1,0.23010000586509705
blocks.11.mlp,0.22959988564252853,1,0.22959988564252853
blocks.0.attn.qkv,0.2148000057786703,1,0.2148000057786703
blocks.0.norm1,0.11950009502470493,1,0.11950009502470493
blocks.6.attn.qkv,0.11319993063807487,1,0.11319993063807487
blocks.0.mlp.fc2,0.11020014062523842,1,0.11020014062523842
blocks.5.mlp.fc2,0.10249996557831764,1,0.10249996557831764
blocks.0.attn.proj,0.10009994730353355,1,0.10009994730353355
blocks.5.mlp.fc1,0.09930017404258251,1,0.09930017404258251
blocks.7.attn.proj,0.09480002336204052,1,0.09480002336204052
blocks.0.mlp.fc1,0.09159999899566174,1,0.09159999899566174
blocks.7.attn.qkv,0.08830009028315544,1,0.08830009028315544
blocks.6.mlp.fc2,0.08190004155039787,1,0.08190004155039787
blocks.1.norm1,0.08079991675913334,1,0.08079991675913334
blocks.0.norm2,0.08050003089010715,1,0.08050003089010715
blocks.7.mlp.fc2,0.07800012826919556,1,0.07800012826919556
blocks.1.attn.qkv,0.0754999928176403,1,0.0754999928176403
blocks.7.mlp.fc1,0.07509998977184296,1,0.07509998977184296
blocks.8.mlp.fc1,0.07369997911155224,1,0.07369997911155224
blocks.1.mlp.fc2,0.07279985584318638,1,0.07279985584318638
blocks.4.mlp.fc1,0.0716999638825655,1,0.0716999638825655
blocks.1.attn.proj,0.06630015559494495,1,0.06630015559494495
blocks.5.attn.qkv,0.0662999227643013,1,0.0662999227643013
blocks.6.mlp.fc1,0.0654999166727066,1,0.0654999166727066
blocks.1.mlp.fc1,0.06529991514980793,1,0.06529991514980793
blocks.9.attn.qkv,0.06519979797303677,1,0.06519979797303677
blocks.8.mlp.fc2,0.06420002318918705,1,0.06420002318918705
blocks.4.attn.qkv,0.06420002318918705,1,0.06420002318918705
blocks.9.attn.proj,0.06370013579726219,1,0.06370013579726219
blocks.10.mlp.fc1,0.06349990144371986,1,0.06349990144371986
blocks.8.attn.proj,0.06329989992082119,1,0.06329989992082119
blocks.4.mlp.fc2,0.06309989839792252,1,0.06309989839792252
blocks.11.attn.proj,0.06260001100599766,1,0.06260001100599766
blocks.6.attn.proj,0.06229989230632782,1,0.06229989230632782
blocks.2.attn.proj,0.062000006437301636,1,0.062000006437301636
blocks.9.mlp.fc1,0.06170012056827545,1,0.06170012056827545
blocks.3.mlp.fc2,0.06110011599957943,1,0.06110011599957943
blocks.9.mlp.fc2,0.060900114476680756,1,0.060900114476680756
blocks.2.attn.qkv,0.06079999729990959,1,0.06079999729990959
blocks.11.mlp.fc1,0.06029987707734108,1,0.06029987707734108
blocks.10.attn.proj,0.06029987707734108,1,0.06029987707734108
blocks.3.attn.proj,0.05940021947026253,1,0.05940021947026253
blocks.11.mlp.fc2,0.059399986639618874,1,0.059399986639618874
blocks.2.mlp.fc2,0.058999983593821526,1,0.058999983593821526
blocks.8.attn.qkv,0.05879998207092285,1,0.05879998207092285
blocks.3.attn.qkv,0.05869986489415169,1,0.05869986489415169
blocks.4.attn.proj,0.05819997750222683,1,0.05819997750222683
blocks.2.mlp.fc1,0.058099860325455666,1,0.058099860325455666
blocks.10.attn.qkv,0.05759997293353081,1,0.05759997293353081
head,0.05700020119547844,1,0.05700020119547844
blocks.11.attn.qkv,0.0567000824958086,1,0.0567000824958086
blocks.5.attn.proj,0.05639996379613876,1,0.05639996379613876
blocks.10.mlp.fc2,0.05619996227324009,1,0.05619996227324009
blocks.3.mlp.fc1,0.05589984357357025,1,0.05589984357357025
blocks.0.mlp.act,0.053900061175227165,1,0.053900061175227165
blocks.7.norm1,0.052999937906861305,1,0.052999937906861305
blocks.5.mlp.act,0.05270005203783512,1,0.05270005203783512
blocks.7.mlp.act,0.04860013723373413,1,0.04860013723373413
blocks.6.norm1,0.04369998350739479,1,0.04369998350739479
blocks.11.norm1,0.04260009154677391,1,0.04260009154677391
blocks.8.norm2,0.04249997437000275,1,0.04249997437000275
blocks.1.norm2,0.041899969801306725,1,0.041899969801306725
blocks.6.norm2,0.04169996827840805,1,0.04169996827840805
blocks.11.norm2,0.040499959141016006,1,0.040499959141016006
norm,0.039499951526522636,1,0.039499951526522636
blocks.2.norm2,0.03920006565749645,1,0.03920006565749645
blocks.7.norm2,0.038999831303954124,1,0.038999831303954124
blocks.4.norm2,0.0383998267352581,1,0.0383998267352581
blocks.5.norm1,0.038300175219774246,1,0.038300175219774246
blocks.4.norm1,0.03829994238913059,1,0.03829994238913059
blocks.9.norm2,0.03820005804300308,1,0.03820005804300308
blocks.6.mlp.act,0.03809994086623192,1,0.03809994086623192
blocks.5.norm2,0.03760005347430706,1,0.03760005347430706
blocks.8.norm1,0.03709993325173855,1,0.03709993325173855
blocks.3.norm2,0.03700004890561104,1,0.03700004890561104
blocks.9.norm1,0.03660004585981369,1,0.03660004585981369
blocks.10.norm1,0.03629992716014385,1,0.03629992716014385
blocks.2.norm1,0.035899924114346504,1,0.035899924114346504
blocks.10.norm2,0.03520003519952297,1,0.03520003519952297
pos_drop,0.034300144761800766,1,0.034300144761800766
blocks.3.norm1,0.03400002606213093,1,0.03400002606213093
blocks.3.mlp.act,0.03190012648701668,1,0.03190012648701668
blocks.1.mlp.act,0.031000003218650818,1,0.031000003218650818
blocks.10.mlp.act,0.02869986928999424,1,0.02869986928999424
blocks.9.mlp.act,0.02859998494386673,1,0.02859998494386673
blocks.2.mlp.act,0.02850010059773922,1,0.02850010059773922
blocks.8.mlp.act,0.02810009755194187,1,0.02810009755194187
blocks.11.mlp.act,0.027999980375170708,1,0.027999980375170708
blocks.4.mlp.act,0.027399975806474686,1,0.027399975806474686
blocks.5.mlp.drop1,0.02310005947947502,1,0.02310005947947502
blocks.0.attn.proj_drop,0.020099803805351257,1,0.020099803805351257
